,age,workclass,fnlwgt,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,y_predict,education-num,age-times-hours
0,8,4,19329,1,7,3,2,1,0,0,39,0,6,478
1,21,4,4212,0,5,0,4,1,0,0,49,0,8,818
2,11,2,25340,0,11,0,4,1,0,0,39,1,11,530
3,27,4,11201,0,7,0,2,1,98,0,39,1,9,766
4,1,0,5411,1,0,3,4,0,0,0,29,0,9,285
5,17,4,16434,1,8,1,4,1,0,0,29,0,5,485
6,12,0,19356,1,0,4,2,1,0,0,39,0,8,545
7,46,6,5538,0,10,0,4,1,52,0,31,1,14,856
8,7,4,26412,1,8,4,4,0,0,0,39,0,9,459
9,38,4,5578,0,3,0,4,1,0,0,9,0,3,288
10,48,4,14411,0,7,0,4,1,87,0,39,1,8,1038
11,19,1,18028,0,1,0,4,1,0,0,39,0,12,654
12,9,4,3714,1,1,1,4,0,0,0,38,0,8,483
13,41,0,23874,0,0,0,4,1,0,0,34,0,8,861
14,31,4,22898,0,7,0,4,1,52,0,47,1,8,951
15,26,4,25715,0,4,0,4,1,0,0,49,1,13,900
16,3,7,27688,1,8,3,4,1,0,0,24,0,9,269
17,26,4,8081,0,1,5,4,0,0,0,29,0,8,599
18,20,4,2608,3,7,4,4,0,0,0,19,0,8,373
19,23,4,3908,0,10,0,1,1,0,0,44,1,15,782
20,17,4,5898,0,13,0,4,1,0,0,46,1,12,707
21,17,4,20322,1,8,3,2,0,0,0,34,0,9,559
22,55,0,8408,2,0,1,4,0,0,0,5,0,3,234
23,8,4,18838,1,10,1,4,1,0,0,42,0,12,511
24,8,4,17346,0,10,0,4,1,0,0,39,0,12,478
25,28,6,27564,0,3,0,4,1,95,0,87,1,8,1313
26,5,4,20140,1,1,3,4,1,0,0,19,0,8,239
27,6,4,8634,2,7,4,2,1,0,0,53,0,8,580
28,37,4,5003,0,3,0,4,1,0,0,34,0,8,814
29,15,6,6053,1,10,1,4,1,0,0,59,0,9,823
30,29,7,5729,0,4,0,2,1,98,0,37,1,9,761
31,39,6,14717,3,8,4,4,0,0,0,49,0,6,1091
32,7,6,14973,1,12,1,4,1,0,0,49,0,12,562
33,6,2,21640,0,11,0,4,1,0,0,39,0,9,445
34,9,4,1538,2,4,4,4,0,0,0,39,0,8,495
35,48,0,15480,0,0,0,4,1,0,0,39,0,8,1038
36,19,2,27148,0,10,0,4,1,0,0,39,1,12,654
37,5,4,21021,1,9,1,4,1,0,0,49,0,2,521
38,0,4,22325,1,7,1,4,1,0,0,39,0,5,348
39,3,4,21596,1,3,3,4,1,0,0,39,0,8,396
40,48,4,8800,0,10,0,4,1,0,0,49,1,13,1189
41,27,5,7311,0,12,0,4,1,0,0,44,1,10,843
42,19,4,27866,0,5,0,4,1,0,0,39,0,8,654
43,12,4,5430,0,8,0,4,1,0,0,39,0,6,545
44,3,7,8997,1,5,3,4,1,0,0,31,0,9,329
45,11,4,20628,0,10,5,4,0,0,0,35,1,10,481
46,22,4,23430,0,3,0,4,1,0,0,39,0,3,695
47,37,4,14662,0,14,0,4,1,66,0,49,0,9,1066
48,35,4,16756,2,9,1,2,0,0,0,17,0,6,452
49,39,5,8401,3,4,1,4,0,0,0,49,0,8,1091
50,1,4,2264,1,8,3,4,1,0,0,19,0,9,195
51,22,4,22927,2,6,3,2,1,0,0,39,0,8,695
52,4,4,18228,1,8,3,4,0,0,37,23,0,9,270
53,5,4,2241,1,8,1,4,1,109,0,59,1,8,610
54,21,4,18697,1,4,1,4,1,0,0,53,0,4,868
55,4,4,6213,1,1,3,4,0,0,0,39,0,9,414
56,46,4,9752,0,3,0,4,1,0,0,39,0,8,1014
57,17,2,26722,0,4,0,4,1,52,0,49,1,12,745
58,25,5,12465,0,4,0,4,1,81,0,49,1,8,882
59,16,4,22346,0,6,0,4,1,0,0,39,0,8,610
60,13,4,5160,1,4,1,4,0,0,0,49,0,12,676
61,22,4,7096,2,12,1,4,1,0,0,39,0,9,695
62,9,4,598,1,4,1,4,0,0,0,39,0,13,495
63,16,4,22978,1,7,3,4,0,0,0,39,0,8,610
64,30,2,12584,2,1,1,4,0,0,0,39,0,8,808
65,24,4,6118,1,8,1,4,0,0,0,39,0,12,722
66,24,5,27695,0,3,0,4,1,112,0,59,1,11,998
67,2,4,5622,1,8,3,4,1,0,0,19,0,9,208
68,29,4,12419,2,14,1,4,1,0,0,39,0,8,796
69,26,4,5321,0,12,0,4,1,0,0,47,0,8,870
70,38,4,24879,0,4,0,4,1,112,0,44,1,9,1001
71,29,4,13126,0,13,0,4,1,0,0,39,0,10,796
72,13,4,19585,0,7,0,4,1,0,0,39,0,8,562
73,4,4,26866,2,6,1,4,0,0,0,39,0,9,414
74,29,4,22300,0,3,0,3,1,0,0,39,0,9,796
75,0,0,11786,1,0,3,4,1,0,0,39,0,5,348
76,24,4,3318,0,7,0,4,1,0,0,49,0,8,867
77,52,5,12938,0,12,0,4,1,0,0,29,0,8,874
78,33,4,24421,0,14,0,4,1,0,0,39,0,8,849
79,3,4,3163,1,1,1,4,0,0,0,39,0,9,396
80,28,5,2901,0,7,0,4,1,0,0,49,0,9,931
81,6,4,18169,1,4,1,4,1,0,0,39,0,12,445
82,7,4,3781,2,8,1,4,1,0,49,39,0,9,459
83,27,5,19076,0,3,0,4,1,122,0,49,1,8,915
84,14,6,6555,0,3,0,4,1,0,0,49,0,9,691
85,26,4,12438,2,7,1,4,0,0,0,43,0,8,816
86,3,1,20775,1,8,3,4,0,0,0,9,0,6,104
87,38,4,11231,0,12,0,4,1,0,0,55,1,8,1154
88,7,1,19516,1,2,1,4,1,0,0,39,0,9,459
89,24,0,1253,0,0,5,4,0,98,0,9,1,13,223
90,42,4,23561,1,4,1,4,0,0,0,24,0,12,667
91,32,1,3458,1,8,1,2,1,0,0,19,0,3,467
92,16,4,13260,0,10,5,4,0,81,0,9,1,13,183
93,42,1,4929,2,1,1,4,1,0,0,39,0,12,967
94,17,4,16443,1,8,1,0,1,0,0,39,0,13,623
95,3,4,27958,1,6,3,4,1,0,0,39,0,8,396
96,8,4,20041,1,4,3,4,0,0,0,39,0,12,478
97,32,4,11721,0,5,0,4,1,0,0,39,0,5,836
98,42,4,22480,0,14,0,4,1,0,0,39,1,8,967
99,3,4,12322,1,1,1,4,0,0,0,39,0,8,396
100,34,0,15183,0,0,5,4,0,0,0,17,0,9,444
101,16,4,16912,1,1,4,2,0,0,0,34,0,9,543
102,5,4,18013,1,14,3,2,1,0,0,38,0,9,421
103,41,6,23937,3,8,1,4,0,0,0,39,0,4,954
104,35,2,10669,3,1,4,4,0,0,0,27,0,8,659
105,19,4,3363,2,7,1,4,0,0,0,39,0,5,654
106,24,2,16819,0,11,0,4,1,0,0,39,0,8,722
107,11,4,10572,1,14,3,4,1,41,0,39,0,8,530
108,2,4,23379,1,6,3,2,1,0,0,15,0,9,169
109,1,4,18530,1,8,1,4,0,0,0,27,0,8,270
110,1,4,13640,1,7,3,4,0,0,0,47,0,8,424
111,11,4,10102,0,3,0,4,1,0,0,39,0,9,530
112,12,4,25352,0,4,0,4,1,0,0,39,1,10,545
113,3,0,564,1,0,3,4,0,0,0,19,0,8,217
114,23,4,5417,0,6,0,4,1,0,0,39,0,9,709
115,9,4,17428,1,6,4,4,1,0,0,39,0,8,495
116,29,4,4724,0,3,0,4,1,0,0,39,0,8,796
117,6,4,16747,1,8,1,4,0,0,0,23,0,6,289
118,27,4,13764,1,1,4,4,0,0,0,39,0,8,766
